,__name__,components_power_source,container,cpu_architecture,endpoint,instance,job,namespace,platform_power_source,pod,service,source,timestamp,kepler_node_info
36,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062673,1.0
37,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062676,1.0
38,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062679,1.0
39,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062682,1.0
40,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062685,1.0
41,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062688,1.0
42,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062691,1.0
43,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062694,1.0
44,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062697,1.0
45,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062700,1.0
46,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062703,1.0
47,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062706,1.0
48,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062709,1.0
49,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062712,1.0
50,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062715,1.0
51,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062718,1.0
52,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062721,1.0
53,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062724,1.0
54,kepler_node_info,estimator,kepler-exporter,Zen 2,http,my-cluster-control-plane,kepler-exporter,kepler,none,kepler-exporter-cl62d,kepler-exporter,os,1721062727,1.0
