,__name__,container,endpoint,exported_instance,instance,job,mode,namespace,package,pod,service,source,timestamp,kepler_node_platform_joules_total
28,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062649,2009005.23
29,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062652,2009005.23
30,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062655,2009005.23
31,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062658,2009005.23
32,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062661,2009005.23
33,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062664,2009005.23
34,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062667,2009005.23
35,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062670,2009185.506
36,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062673,2009185.506
37,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062676,2009185.506
38,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062679,2009185.506
39,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062682,2009185.506
40,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062685,2009185.506
41,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062688,2009185.506
42,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062691,2009185.506
43,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062694,2009185.506
44,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062697,2009185.506
45,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062700,2009366.622
46,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062703,2009366.622
47,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062706,2009366.622
48,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062709,2009366.622
49,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062712,2009366.622
50,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062715,2009366.622
51,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062718,2009366.622
52,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062721,2009366.622
53,kepler_node_platform_joules_total,kepler-exporter,http,my-cluster-control-plane,my-cluster-control-plane,kepler-exporter,dynamic,kepler,estimator0,kepler-exporter-cl62d,kepler-exporter,trained_power_model,1721062724,2009366.622
